Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0457381206668834,0.00611247044507018,0.0114970028605124,0,0,0,0.19106535154014,0.000122579796066732,2.23919634498926E-06,9.94442491558524E-06,0.000130046700134629,-2.45283989663686E-06,0.000234756355383118,0,0,0,0,0,0,package://V2D18-URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/base_link.STL,,newplam-1/上盖-1;newplam-1/2025-12-04-01-52-06-781-1/2025-12-29-14-27-10-137-1/2025-12-29-14-27-10-146-1;newplam-1/2025-12-04-01-52-06-781-1/2025-12-29-14-27-10-137-1/2025-12-29-14-27-10-145-1;2025-12-23-15-42-31-282_1-1/2025-12-23-15-42-31-281-1/2025-12-23-15-42-31-281_1-1;2025-12-23-15-42-31-282_1-3/2025-12-23-15-42-31-281-1/2025-12-23-15-42-31-281_1-1;2025-12-23-15-42-31-282_1-4/2025-12-23-15-42-31-281-1/2025-12-23-15-42-31-281_1-1;2025-12-23-15-42-31-282_1-5/2025-12-23-15-42-31-281-1/2025-12-23-15-42-31-281_1-1;newplam-1/2025-12-04-01-52-06-781-1/2025-12-29-14-27-10-137-1/2025-12-29-14-27-10-142-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1-1_Link,0.00666468811296363,2.43312030302727E-05,-0.00122358901915693,0,0,0,0.00230230069636072,6.66445664374922E-08,-2.30611861303599E-10,4.5428715251042E-09,1.15763780079683E-07,-2.84240749968494E-10,9.86774264088661E-08,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-1_Link.STL,0.407843137254902,0.407843137254902,0.407843137254902,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-1_Link.STL,,2025-12-23-15-42-31-281_2-1,1-01,1-1,1-1,revolute,0.097499,-0.025791,0.0074875,0,0,0,base_link,0,0,1,0,0,50,30,,,,,,,,
1-2_Link,0.0152741840081209,-0.00198875417389117,0.00022979944498021,0,0,0,0.00692845319857682,1.49882911537818E-07,-1.74647614996938E-08,7.60532320466195E-09,6.35994950369425E-07,4.09392372485491E-09,6.24100976848017E-07,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-2_Link.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-2_Link.STL,,2-3-3/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-128-1-1;2-3-3/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-128-2-1;2-3-3/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-128-0-1;2-3-3/2025-12-25-01-45-08-128-1/装配体3^2025-12-25-01-45-08-128-1/eBom-FreeParts-1;2-3-3/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-129-1;2-3-3/2025-12-25-01-45-08-128-1/cap-3-1,1-02,1-2,1-2,revolute,0.012725,0,-0.0014425,-1.5708,-0.029375,0,1-1_Link,0,0,1,0,0,90,0,,,,,,,,
1-3_Link,0.0135681158445461,-0.00233323210428728,-0.00015814238254955,0,0,0,0.0069931373751404,1.80161712520238E-07,-1.74224909621257E-09,-2.45288623419525E-09,7.4238755353751E-07,-8.521606503596E-09,7.25808612154272E-07,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-3_Link.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-3_Link.STL,,2-3-3/2025-12-25-01-45-08-130-1/2025-12-25-01-45-08-130-4-1;2-3-3/2025-12-25-01-45-08-130-1/2025-12-25-01-45-08-130-3-1;2-3-3/2025-12-25-01-45-08-130-1/装配体2^2025-12-25-01-45-08-130-1/eBom-FreeParts-1;2-3-3/2025-12-25-01-45-08-130-1/2025-12-25-01-45-08-129-1;2-3-3/2025-12-25-01-45-08-130-1/cap-2-1,1-03,1-3,1-3,revolute,0.035,0,0.0001495,0,0,0.024907,1-2_Link,0,0,1,0,0,85,0,,,,,,,,
1-4_Link,0.0153966829649378,0.00025799704075654,0.000356415316074223,0,0,0,0.00512412476728691,1.13887802110381E-07,-4.6357841493271E-09,-3.28132622789435E-09,4.21219121007844E-07,3.49102062829697E-12,3.82984224115563E-07,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-4_Link.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/1-4_Link.STL,,2-3-3/2025-12-25-01-45-08-131-1/2025-12-25-01-45-08-131-6-1;2-3-3/2025-12-25-01-45-08-131-1/2025-12-25-01-45-08-132-2;2-3-3/2025-12-25-01-45-08-131-1/cap-1-1,1-04,1-4,1-4,revolute,0.028,0,-0.00029976,0,0,-0.00068633,1-3_Link,0,0,1,0,0,90,0,,,,,,,,
2-1_Link,0.00666468811296448,2.43312030301195E-05,-0.00122358901915668,0,0,0,0.00230230069636073,6.66445664374923E-08,-2.30611861303485E-10,4.54287152510426E-09,1.15763780079684E-07,-2.84240749968517E-10,9.86774264088664E-08,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-1_Link.STL,0.407843137254902,0.407843137254902,0.407843137254902,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-1_Link.STL,,2025-12-23-15-42-31-281_2-3,2-01,2-1,2-1,revolute,0.1025,-0.0017912,0.0074875,0,0,0,base_link,0,0,1,0,0,50,50,,,,,,,,
2-2_Link,0.0150160450524085,-0.00236468043234884,0.000505831177052024,0,0,0,0.00712441800265096,1.50494450665815E-07,-3.15411831956326E-09,7.72226914536829E-09,6.43176639163203E-07,3.8687585799395E-09,6.31855375132012E-07,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-2_Link.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-2_Link.STL,,2-3-5/2025-12-25-01-45-08-128-1/装配体3^2025-12-25-01-45-08-128-1/eBom-FreeParts-1;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-128-2-1;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-128-1-1;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-128-0-1;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-129-1;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-160-1/2025-12-25-01-45-08-172-1;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-160-1/2025-12-25-01-45-08-170-2;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-160-1/2025-12-25-01-45-08-171-2;2-3-5/2025-12-25-01-45-08-128-1/2025-12-25-01-45-08-160-1/2025-12-25-01-45-08-171-1;2-3-5/2025-12-25-01-45-08-128-1/cap-3-1,2-02,2-2,2-2,revolute,0.012725,0,-0.0014425,-1.5708,0,0,2-1_Link,0,0,1,0,0,90,0,,,,,,,,
2-3_Link,0.0135728013516642,-0.00231653122531284,0.000161557214828377,0,0,0,0.00725239796486435,1.81970837353766E-07,8.56958216429695E-10,-2.49094299191958E-09,7.68595732675608E-07,-8.51055998953839E-09,7.53798261662833E-07,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-3_Link.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-3_Link.STL,,2-3-5/2025-12-25-01-45-08-130-1/装配体2^2025-12-25-01-45-08-130-1/eBom-FreeParts-1;2-3-5/2025-12-25-01-45-08-130-1/2025-12-25-01-45-08-130-3-1;2-3-5/2025-12-25-01-45-08-130-1/2025-12-25-01-45-08-130-4-1;2-3-5/2025-12-25-01-45-08-130-1/2025-12-25-01-45-08-129-1;2-3-5/2025-12-25-01-45-08-130-1/2025-12-25-01-45-08-134-1/2025-12-25-01-45-08-146-1;2-3-5/2025-12-25-01-45-08-130-1/cap-2-1,2-03,2-3,2-3,continuous,0.034985,-0.0010281,0.0001495,0,0,0,2-2_Link,0,0,1,0,0,85,,,,,,,,,
2-4_Link,0.0153978083634171,0.000178622073037369,0.000356415283021071,0,0,0,0.00512412473433074,1.13848172711898E-07,-3.05123266200155E-09,-3.28126535864195E-09,4.21258747550823E-07,2.0405857749625E-11,3.82984223148569E-07,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-4_Link.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/2-4_Link.STL,,2-3-5/2025-12-25-01-45-08-131-1/2025-12-25-01-45-08-131-6-1;2-3-5/2025-12-25-01-45-08-131-1/2025-12-25-01-45-08-132-2;2-3-5/2025-12-25-01-45-08-131-1/cap-1-1,2-04,2-4,2-4,continuous,0.028,-0.00012529,-0.00029976,0,0,0,2-3_Link,0,0,1,0,0,90,,,,,,,,,
3-1_Link,0.0066646881129635,2.43312030321005E-05,-0.00122358901915672,0,0,0,0.00230230069636072,6.66445664374923E-08,-2.30611861318448E-10,4.54287152510431E-09,1.15763780079683E-07,-2.84240749967137E-10,9.86774264088661E-08,0,0,0,0,0,0,package://V2D18-URDF/meshes/3-1_Link.STL,0.407843137254902,0.407843137254902,0.407843137254902,1,0,0,0,0,0,0,package://V2D18-URDF/meshes/3-1_Link.STL,,2025-12-23-15-42-31-281_2-4,3-01,3-1,3-1,revolute,0.097499,0.022209,0.0074875,0,0,0,base_link,0,0,1,0,0,30,65,,,,,,,,
